date;subjectId;blocknr;name;timeEventStart;image;timeEventEnd;blockname;alias;RT;key
01-Dec-2016 13:09:23;;Block 1;Show Image;0.001206;Slide1.JPG;0.042723;tralala;Draw Image;;
01-Dec-2016 13:09:23;;Block 1;WaitForKeyPress;0.043156;;0.65404;tralala;;0.5133;space
01-Dec-2016 13:09:23;;Block 1;Clear screen;0.65417;;0.67866;tralala;;;
01-Dec-2016 13:09:23;;Block 1;WaitForKeyPress;0.67876;;1.3813;tralala;;0.69854;space
01-Dec-2016 13:09:23;;Block 1;Repeat x events;1.3815;;1.3816;tralala;;;
01-Dec-2016 13:09:23;;Block 1;Show Image;1.3817;Slide3.JPG;1.4032;tralala;Draw Image;;
01-Dec-2016 13:09:23;;Block 1;WaitForKeyPress;1.4035;;4.43;tralala;;NaN;NaN
01-Dec-2016 13:09:23;;Block 1;Clear screen;4.4302;;4.4622;tralala;;;
01-Dec-2016 13:09:23;;Block 1;WaitForKeyPress;4.4625;;5.0126;tralala;;0.54867;space
01-Dec-2016 13:09:23;;Block 1;Repeat x events;5.0127;;5.0127;tralala;;;
01-Dec-2016 13:09:23;;Block 1;Show Image;5.0128;Slide5.JPG;5.0301;tralala;Draw Image;;
01-Dec-2016 13:09:23;;Block 1;WaitForKeyPress;5.0303;;6.4297;tralala;;1.3762;space
01-Dec-2016 13:09:23;;Block 1;Clear screen;6.4299;;6.4621;tralala;;;
01-Dec-2016 13:09:23;;Block 1;WaitForKeyPress;6.4624;;6.9464;tralala;;0.4766;space
01-Dec-2016 13:09:23;;Block 1;Repeat x events;6.9466;;6.9467;tralala;;;
01-Dec-2016 13:09:23;;Block 1;Show Image;6.9468;Slide7.JPG;6.963;tralala;Draw Image;;
01-Dec-2016 13:09:23;;Block 1;WaitForKeyPress;6.9632;;7.2631;tralala;;0.28075;space
01-Dec-2016 13:09:23;;Block 1;Clear screen;7.2633;;7.2955;tralala;;;
01-Dec-2016 13:09:23;;Block 1;WaitForKeyPress;7.2957;;7.7131;tralala;;0.41118;space
01-Dec-2016 13:09:23;;Block 1;Repeat x events;7.7133;;7.7133;tralala;;;
01-Dec-2016 13:10:08;;Block 1;Show Image;0.0011985;Slide1.JPG;0.056901;tralala;Draw Image;;
01-Dec-2016 13:10:08;;Block 1;WaitForKeyPress;0.057434;;1.2778;tralala;;1.1614;space
01-Dec-2016 13:10:08;;Block 1;Clear screen;1.2779;;1.308;tralala;;;
01-Dec-2016 13:10:08;;Block 1;WaitForKeyPress;1.3081;;1.8454;tralala;;0.53224;space
01-Dec-2016 13:10:08;;Block 1;Repeat x events;1.8456;;1.8457;tralala;;;
01-Dec-2016 13:10:08;;Block 1;Show Image;1.8458;Slide3.JPG;1.8705;tralala;Draw Image;;
01-Dec-2016 13:10:08;;Block 1;WaitForKeyPress;1.8709;;3.2753;tralala;;1.3996;space
01-Dec-2016 13:10:08;;Block 1;Clear screen;3.2755;;3.3082;tralala;;;
01-Dec-2016 13:10:08;;Block 1;WaitForKeyPress;3.3083;;3.6751;tralala;;0.36592;space
01-Dec-2016 13:10:08;;Block 1;Repeat x events;3.6752;;3.6752;tralala;;;
01-Dec-2016 13:10:08;;Block 1;Show Image;3.6752;Slide5.JPG;3.6918;tralala;Draw Image;;
01-Dec-2016 13:10:08;;Block 1;WaitForKeyPress;3.6919;;4.0257;tralala;;0.31835;space
01-Dec-2016 13:10:08;;Block 1;Clear screen;4.0258;;4.0584;tralala;;;
