date;subjectId;blocknr;name;timeEventStart;image;timeEventEnd;blockname;alias;waittime
01-Dec-2016 12:45:25;;Block 1;Show Image;0.00089332;jnbsHcl.jpg;0.11397;Blok1;Draw Image;
01-Dec-2016 12:45:25;;Block 1;Wait;0.11444;;0.16477;Blok1;;0.05
01-Dec-2016 12:45:25;;Block 1;Clear screen;0.16497;;0.24766;Blok1;;
01-Dec-2016 12:45:25;;Block 1;Repeat x events;0.24775;;0.24778;Blok1;;
01-Dec-2016 12:45:25;;Block 1;Show Image;0.24782;wovenhandy.jpg;0.2668;Blok1;Draw Image;
01-Dec-2016 12:45:25;;Block 1;Wait;0.26687;;0.31706;Blok1;;0.05
01-Dec-2016 12:45:25;;Block 1;Clear screen;0.31726;;0.34817;Blok1;;
01-Dec-2016 12:45:25;;Block 1;Repeat x events;0.34884;;0.34919;Blok1;;
01-Dec-2016 12:45:25;;Block 1;Show Image;0.34945;jnbsHcl.jpg;0.36473;Blok1;Draw Image;
01-Dec-2016 12:45:25;;Block 1;Wait;0.3648;;0.415;Blok1;;0.05
01-Dec-2016 12:45:25;;Block 1;Clear screen;0.41521;;0.44808;Blok1;;
01-Dec-2016 12:45:25;;Block 1;Repeat x events;0.44832;;0.44839;Blok1;;
01-Dec-2016 12:45:25;;Block 1;Show Image;0.44852;jnbsHcl.jpg;0.46558;Blok1;Draw Image;
01-Dec-2016 12:45:25;;Block 1;Wait;0.46579;;0.51602;Blok1;;0.05
01-Dec-2016 12:45:25;;Block 1;Clear screen;0.51622;;0.54811;Blok1;;
01-Dec-2016 12:45:25;;Block 1;Repeat x events;0.54836;;0.54843;Blok1;;
01-Dec-2016 12:45:25;;Block 1;Show Image;0.54856;wovenhandy.jpg;0.56557;Blok1;Draw Image;
01-Dec-2016 12:45:25;;Block 1;Wait;0.56578;;0.61601;Blok1;;0.05
01-Dec-2016 12:45:25;;Block 1;Clear screen;0.61622;;0.64813;Blok1;;
01-Dec-2016 12:45:25;;Block 1;Repeat x events;0.64838;;0.64845;Blok1;;
01-Dec-2016 12:45:25;;Block 1;Show Image;0.64858;jnbsHcl.jpg;0.6655;Blok1;Draw Image;
01-Dec-2016 12:45:25;;Block 1;Wait;0.66571;;0.71593;Blok1;;0.05
01-Dec-2016 12:45:25;;Block 1;Clear screen;0.71614;;0.74809;Blok1;;
01-Dec-2016 12:45:25;;Block 1;Repeat x events;0.74833;;0.7484;Blok1;;
